time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2017-01-06 09:30:00,0,0.0,10000,10000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:31:00,0.06886425465951332,0.0,10000.0,10000.0,0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:32:00,0.07611123691849174,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:33:00,0.0666949368280315,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:34:00,0.07020574412942651,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:35:00,0.08893042545089813,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:36:00,0.09398727731945372,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:37:00,0.09660000090974175,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:38:00,0.1202117415658688,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:39:00,0.12427023066694347,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:40:00,0.1229611367349225,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:41:00,0.12578605035059268,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:42:00,0.1255697604250699,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:43:00,0.12190228922329069,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:44:00,0.12237062691863594,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
2017-01-06 09:45:00,0.12080816308195202,0.0,10000.0,10000.0,0.0,0,"{'maxPortfolioValue': 10000.0, 'maxDrawdown': 0}",0,0,0,0
